Date,Name,Programming Language
1990-05-15,John Smith,Python
1985-12-02,Alice Johnson,Java
1982-08-20,Michael Brown,C
1998-03-10,Emily Davis,Java
1988-06-25,Christopher Miller,Python
1995-11-18,Sarah Wilson,C
1984-09-30,Brian Anderson,Java
1992-07-05,Jessica Martinez,Python
1981-04-22,David Thompson,Java
1997-01-08,Amanda White,C
1989-10-12,James Taylor,Python
1994-02-28,Karen Hall,Java
1986-05-05,Matthew Clark,C
1991-08-15,Laura Lee,Python
1983-11-10,Richard Turner,Java
1996-06-01,Elizabeth Garcia,C
1987-01-25,Andrew Walker,Python
1993-09-08,Megan Allen,Java
1980-12-20,Robert Wright,C
1999-04-14,Olivia Harris,Python
1990-05-15,John Smith,Python
1985-12-02,Alice Johnson,Java
1982-08-20,Michael Brown,C
1998-03-10,Emily Davis,Java
1988-06-25,Christopher Miller,Python
1995-11-18,Sarah Wilson,C
1984-09-30,Brian Anderson,Java
1992-07-05,Jessica Martinez,Python
1981-04-22,David Thompson,Java
1997-01-08,Amanda White,C
1989-10-12,James Taylor,Python
1994-02-28,Karen Hall,Java
1986-05-05,Matthew Clark,C
1991-08-15,Laura Lee,Python
1983-11-10,Richard Turner,Java
1996-06-01,Elizabeth Garcia,C
1987-01-25,Andrew Walker,Python
1993-09-08,Megan Allen,Java
1980-12-20,Robert Wright,C
1999-04-14,Olivia Harris,Python
1990-05-15,John Smith,Python
1985-12-02,Alice Johnson,Java
1982-08-20,Michael Brown,C
1998-03-10,Emily Davis,Java
1988-06-25,Christopher Miller,Python
1995-11-18,Sarah Wilson,C
1984-09-30,Brian Anderson,Java
1992-07-05,Jessica Martinez,Python
1981-04-22,David Thompson,Java
1997-01-08,Amanda White,C
1989-10-12,James Taylor,Python
1994-02-28,Karen Hall,Java
1986-05-05,Matthew Clark,C
1991-08-15,Laura Lee,Python
1983-11-10,Richard Turner,Java
1996-06-01,Elizabeth Garcia,C
1987-01-25,Andrew Walker,Python
1993-09-08,Megan Allen,Java
1980-12-20,Robert Wright,C
